,Ticker,Name,Weight (%),Price,Shares,Market Value,Sector,Year
24,GNKOQ,GENCO SHIPPING AND TRADING LTD,0.01,54.76,3319.0,181748.44,Industrials,2007
25,PNCLQ,PINNACLE AIRLINES CORP,0.0,15.25,3544.0,54046.0,Industrials,2007
26,BRS,BRISTOW GROUP INC,0.01,56.65,3650.0,206772.5,Industrials,2007
27,CVGI,COMMERCIAL VEHICLE GROUP INC,0.0,14.5,3790.0,54955.0,Industrials,2007
28,DHT,DHT HOLDINGS INC.,0.0,12.24,3793.0,46426.32,Industrials,2007
29,THRM,GENTHERM INCORPORATED,0.0,21.14,3876.0,81938.64,Industrials,2007
30,ATAC,ATC TECHNOLOGY CORP.,0.0,27.26,3919.0,106831.94,Industrials,2007
31,ABFS,ARKANSAS BEST CORP.,0.0,21.94,4052.0,88900.88,Industrials,2007
32,SUP,SUPERIOR INDS INC,0.0,18.17,4105.0,74587.85,Industrials,2007
33,GLF,GULFMARK OFFSHORE INC.,0.01,46.79,4113.0,192447.27,Industrials,2007
34,CGI,CELADON GROUP INC,0.0,9.16,4234.0,38783.44,Industrials,2007
35,AURDQ,ACCURIDE CORP.,0.0,7.86,4242.0,33342.12,Industrials,2007
36,TWI,TITAN INTERNATIONAL INC,0.0,31.26,4342.0,135730.92,Industrials,2007
37,MEH,MIDWEST AIR GROUP INC.,0.0,14.8,4438.0,65682.4,Industrials,2007
38,GMR,GENERAL MARITIME,0.0,24.45,5165.0,126284.25,Industrials,2007
39,ODFL,OLD DOMINION FREIGHT LINE INC,0.0,23.11,5330.0,123176.32,Industrials,2007
40,MCOAQ,MONACO COACH CORP,0.0,8.88,5379.0,47765.52,Industrials,2007
41,FWRD,FORWARD AIR CORP,0.01,31.17,5422.0,169003.75,Industrials,2007
42,WNC,WABASH NATIONAL CORP,0.0,7.69,5490.0,42218.1,Industrials,2007
43,NAT,NORDIC AMERICAN TANKERS LTD,0.01,32.82,5624.0,184579.68,Industrials,2007
44,SFL,SHIP FINANCE INTERNATIONAL LTD,0.01,27.71,5674.0,157226.54,Industrials,2007
45,WGO,WINNEBAGO INDUSTRIES INC,0.0,21.02,5692.0,119645.84,Industrials,2007
46,SPAR,SPARTAN MOTORS INC,0.0,7.64,5804.0,44342.56,Industrials,2007
47,MOD,MODINE MANUFACTURING,0.0,16.51,5847.0,96533.97,Industrials,2007
48,OSGIQ,OVERSEAS SHIPHOLDING GROUP INC,0.01,74.43,5903.0,439360.29,Industrials,2007
49,HRZL,HORIZON LINES INC.,0.0,18.64,6043.0,112641.52,Industrials,2007
50,RJETQ,REPUBLIC AIRWAYS INC,0.0,19.59,6092.0,119342.28,Industrials,2007
51,GWR,GENESEE & WYOMING INC CLASS A,0.01,24.17,6241.0,150844.98,Industrials,2007
52,GLNG,GOLAR LNG LTD,0.0,22.12,6278.0,138869.36,Industrials,2007
53,THO,THOR INDUSTRIES INC,0.01,38.01,6417.0,243910.17,Industrials,2007
54,PACR,PACER INTERNATIONAL INC,0.0,14.6,6571.0,95936.6,Industrials,2007
55,PII,POLARIS INDUSTRIES INC,0.01,47.77,6632.0,316810.64,Industrials,2007
56,AIR,AAR CORP.,0.01,38.03,6699.0,254762.97,Industrials,2007
57,HUBG,HUB GROUP INC CLASS A,0.01,26.58,6979.0,185501.82,Industrials,2007
58,ALK,ALASKA AIR GROUP INC,0.01,25.01,7225.0,180697.25,Industrials,2007
59,OMEX,ODYSSEY MARINE EXPLORATION INC,0.0,6.19,7383.0,45700.77,Industrials,2007
60,TK,TEEKAY CORP,0.01,53.21,7447.0,396254.87,Industrials,2007
61,TRW,TRW AUTOMOTIVE HOLDINGS CORP,0.01,20.9,7640.0,159676.0,Industrials,2007
62,ALEX,ALEXANDER & BALDWIN INC.,0.01,51.66,7919.0,409095.54,Industrials,2007
63,AXL,AMERICAN AXLE AND MANUFACTURING HO,0.01,18.62,8037.0,149648.94,Industrials,2007
64,TEN,TENNECO INC,0.01,26.07,8330.0,217163.1,Industrials,2007
65,WERN,WERNER ENTERPRISES INC,0.0,17.03,8371.0,142558.13,Industrials,2007
66,CNW,CON-WAY INC.,0.01,41.54,8430.0,350182.2,Industrials,2007
67,EGLE,EAGLE BULK SHIPPING INC.,0.01,26.55,8489.0,225382.95,Industrials,2007
68,FRO,FRONTLINE LTD.,0.01,48.0,8920.0,428160.0,Industrials,2007
69,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,0.01,34.44,9021.0,310683.24,Industrials,2007
70,XJT,EXPRESSJET HOLDINGS INC,0.0,2.48,9757.0,24197.36,Industrials,2007
71,KEX,KIRBY CORP,0.02,46.48,9803.0,455643.44,Industrials,2007
72,ACLI,AMERICAN COMMERCIAL LINES INC.,0.01,16.24,9989.0,162221.36,Industrials,2007
73,TDW,TIDEWATER INC,0.02,54.86,10244.0,561985.84,Industrials,2007
74,LSTR,LANDSTAR SYSTEM INC,0.01,42.15,10261.0,432501.15,Industrials,2007
75,KNX,KNIGHT TRANSPORTATION INC,0.01,14.81,10288.0,152365.3,Industrials,2007
76,YRCW,YRC WORLDWIDE INC.,0.01,17.09,10344.0,176778.96,Industrials,2007
77,HTLD,HEARTLAND EXPRESS INC,0.01,14.18,10432.0,147925.78,Industrials,2007
78,ATSG,AIR TRANSPORT SERVICES GROUP INC,0.0,4.18,10566.0,44165.88,Industrials,2007
79,WBC,WABCO HOLDINGS INC,0.02,50.09,10948.0,548385.32,Industrials,2007
80,CTB,COOPER TIRE AND RUBBER,0.01,16.58,11098.0,184004.84,Industrials,2007
81,FLTWQ,FLEETWOOD ENTR,0.0,5.98,11512.0,68841.76,Industrials,2007
82,SKYW,SKYWEST INC,0.01,26.85,11612.0,311782.2,Industrials,2007
83,FRPT,FORCE PROTECTION,0.0,4.68,12235.0,57259.8,Industrials,2007
84,MTOR,MERITOR INC,0.01,11.73,12910.0,151434.3,Industrials,2007
85,OSK,OSHKOSH CORP,0.02,47.26,13507.0,638340.82,Industrials,2007
86,LEARQ,LEAR CORP.,0.01,27.66,14097.0,389923.02,Industrials,2007
87,KSU,KANSAS CITY SOUTHERN,0.02,34.33,14116.0,484602.28,Industrials,2007
88,ALV,AUTOLIV INC,0.03,52.71,14662.0,772834.02,Industrials,2007
89,LCC,US AIRWAYS GROUP INC.,0.01,14.71,15001.0,220664.71,Industrials,2007
90,AAI,AIRTRAN HOLDINGS INC,0.0,7.16,16454.0,117810.64,Industrials,2007
91,JBHT,JB HUNT TRANSPORT SERVICES INC,0.02,27.55,16529.0,455373.95,Industrials,2007
92,CAL,CONTINENTAL AIRLINES B,0.01,22.25,17791.0,395849.75,Industrials,2007
93,UTIW,UTI WORLDWIDE INC,0.01,19.6,18188.0,356484.8,Industrials,2007
94,HAYZQ,HAYES LEMMERZ INTERNATIONAL INC. C,0.0,4.57,19457.0,88918.49,Industrials,2007
95,UAUA,UAL CORP,0.03,35.66,21218.0,756633.88,Industrials,2007
96,BWA,BORGWARNER INC,0.04,48.41,21314.0,1031810.74,Industrials,2007
97,VSTNQ,VISTEON CORP,0.0,4.39,23357.0,102537.23,Industrials,2007
98,GNTX,GENTEX CORP,0.02,17.77,26172.0,465076.44,Industrials,2007
99,CHRW,CH ROBINSON WORLDWIDE INC,0.06,54.12,31033.0,1679505.96,Industrials,2007
100,GPC,GENUINE PARTS,0.05,46.3,31304.0,1449375.2,Industrials,2007
101,JBLU,JETBLUE AIRWAYS CORP,0.01,5.9,32140.0,189626.01,Industrials,2007
102,GT,GOODYEAR TIRE & RUBBER,0.04,28.22,38411.0,1083958.42,Industrials,2007
103,EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,0.06,44.68,39215.0,1752126.2,Industrials,2007
104,AAMRQ,AMR CORP.,0.02,14.03,44062.0,618189.86,Industrials,2007
105,HOG,HARLEY DAVIDSON INC,0.07,46.71,44564.0,2081584.44,Industrials,2007
106,NWA,NORTHWEST AIRLINES W/1,0.02,14.51,48040.0,697060.4,Industrials,2007
107,DAL,DELTA AIR LINES INC,0.02,14.89,48560.0,723058.4,Industrials,2007
108,UNP,UNION PACIFIC CORP,0.21,125.62,49442.0,6210904.04,Industrials,2007
109,FDX,FEDEX CORP,0.17,89.17,56496.0,5037748.32,Industrials,2007
110,BNI,BURLINGTON NORTHERN,0.18,83.23,65355.0,5439496.65,Industrials,2007
111,PCAR,PACCAR INC,0.13,54.48,68262.0,3718913.76,Industrials,2007
112,NSC,NORFOLK SOUTHERN CORP,0.12,50.44,72226.0,3643079.44,Industrials,2007
113,CSX,CSX CORP,0.12,43.98,80105.0,3523017.9,Industrials,2007
114,MTLQQ,MOTORS LIQUIDATION CO,0.07,24.89,88444.0,2201371.16,Industrials,2007
115,UPS,UNITED PARCEL SERVICE INC CLASS B,0.3,70.72,123188.0,8711855.36,Industrials,2007
116,LUV,SOUTHWEST AIRLINES,0.06,12.2,135631.0,1654698.2,Industrials,2007
117,F,F MOTOR,0.08,6.73,370405.0,2492825.65,Industrials,2007
118,LAWS,LAWSON PRODUCTS INC,0.0,37.92,756.0,28667.52,Consumer Discretionary,2007
119,NPK,NATIONAL PRESTO INDUSTRIES INC,0.0,52.66,808.0,42549.28,Consumer Discretionary,2007
120,LINC,LINCOLN EDUCATIONAL SERVICES CORP,0.0,14.72,851.0,12526.72,Consumer Discretionary,2007
121,SP,SP PLUS CORP,0.0,48.49,894.0,43350.06,Consumer Discretionary,2007
122,WWIN.1,WASTE INDUSTRIES USA,0.0,36.3,921.0,33432.3,Consumer Discretionary,2007
123,GMTA,GANDER MOUNTAIN CO,0.0,4.93,930.0,4584.9,Consumer Discretionary,2007
124,CPICQ,CPI CORP,0.0,23.55,949.0,22348.95,Consumer Discretionary,2007
125,APEI,AMERICAN PUBLIC EDUCATION INC,0.0,41.78,972.0,40610.16,Consumer Discretionary,2007
126,GHC,GRAHAM HOLDINGS COMPANY CO CLASS B,0.03,791.43,1082.0,856327.26,Consumer Discretionary,2007
127,FSCI,FISHER COMMUNICATIONS INC.,0.0,37.96,1110.0,42135.6,Consumer Discretionary,2007
128,HLYS,HEELYS INC,0.0,6.96,1147.0,7983.12,Consumer Discretionary,2007
129,PONE,PROTECTION ONE INC.,0.0,11.89,1164.0,13839.96,Consumer Discretionary,2007
130,SYMSQ,SYMS CORP,0.0,15.1,1228.0,18542.8,Consumer Discretionary,2007
131,GLUU,GLU MOBILE INC,0.0,5.22,1330.0,6942.6,Consumer Discretionary,2007
132,WEYS,WEYCO GROUP INC,0.0,27.5,1330.0,36575.0,Consumer Discretionary,2007
133,FADV,FIRST ADVANTAGE CORP A,0.0,16.47,1334.0,21970.98,Consumer Discretionary,2007
134,BBSI,BARRETT BUSINESS SERVICES INC,0.0,18.01,1335.0,24043.35,Consumer Discretionary,2007
135,CHKE,CHEROKEE INC,0.0,32.27,1347.0,43467.69,Consumer Discretionary,2007
136,TZOO,TRAVELZOO INC.,0.0,13.68,1351.0,18481.68,Consumer Discretionary,2007
137,CSS,CSS INDUSTRIES INC,0.0,36.7,1412.0,51820.4,Consumer Discretionary,2007
138,LVB,STEINWAY MUSICAL INSTRUMENTS INC.,0.0,27.57,1447.0,39893.79,Consumer Discretionary,2007
139,ICTG.,ICT GROUP,0.0,11.95,1462.0,17470.9,Consumer Discretionary,2007
140,USNA,USANA HEALTH SCIENCES INC,0.0,37.08,1524.0,56509.92,Consumer Discretionary,2007
141,RLRN,RENAISSANCE LEARNING,0.0,14.0,1539.0,21546.0,Consumer Discretionary,2007
142,MWIV,MWI VETERINARY SUPPLY INC.,0.0,40.0,1540.0,61600.0,Consumer Discretionary,2007
143,IPAR,INTER PARFUMS INC,0.0,17.97,1556.0,27961.32,Consumer Discretionary,2007
144,AMIE,AMBASSADORS INTERNATIONAL INC.,0.0,14.58,1618.0,23590.44,Consumer Discretionary,2007
145,PPD,PRE-PAID LEGAL SERVICES INC.,0.0,55.35,1632.0,90331.2,Consumer Discretionary,2007
146,CORE,CORE MARK HOLDING INC,0.0,28.72,1663.0,47761.36,Consumer Discretionary,2007
147,SALM,SALEM MEDIA GROUP INC CLASS A,0.0,6.59,1666.0,10978.94,Consumer Discretionary,2007
148,CNXN,PC CONNECTION INC,0.0,11.35,1688.0,19158.8,Consumer Discretionary,2007
149,HGGGQ,HHGREGG INC,0.0,13.76,1690.0,23254.4,Consumer Discretionary,2007
150,SCVL,SHOE CARNIVAL INC,0.0,14.11,1716.0,24212.76,Consumer Discretionary,2007
151,CHDN,CHURCHILL DOWNS INC,0.0,53.97,1716.0,92612.52,Consumer Discretionary,2007
152,KCP,KENNETH COLE PRODUCTIONS INC. CL A,0.0,17.49,1773.0,31009.77,Consumer Discretionary,2007
153,TAST,CARROLS RESTAURANT GROUP INC,0.0,9.58,1777.0,17023.66,Consumer Discretionary,2007
154,RVHLQ,RIVIERA HLDGS CORP COM,0.0,30.8,1817.0,55963.6,Consumer Discretionary,2007
155,BONT,BON TON STORES INC,0.0,9.49,1831.0,17376.19,Consumer Discretionary,2007
156,CRRC,COURIER CORP.,0.0,33.01,1863.0,61497.63,Consumer Discretionary,2007
157,CGX,CONSOLIDATED GRAPHICS INC,0.0,47.82,1886.0,90188.52,Consumer Discretionary,2007
158,LQDT,LIQUIDITY SERVICES INC,0.0,12.9,1901.0,24522.9,Consumer Discretionary,2007
159,SYX,SYSTEMAX INC,0.0,20.32,1901.0,38628.32,Consumer Discretionary,2007
160,NXST,NEXSTAR MEDIA GROUP INC CLASS A,0.0,9.14,1903.0,17393.42,Consumer Discretionary,2007
161,UHAL,AMERCO,0.0,65.68,1903.0,124989.04,Consumer Discretionary,2007
162,CRN,CORNELL COS,0.0,23.32,1904.0,44401.28,Consumer Discretionary,2007
163,MRT,MORTONS RESTAURANT GROUP INC.,0.0,9.33,1905.0,17773.65,Consumer Discretionary,2007
164,CPLA,CAPELLA EDUCATION,0.0,65.46,1926.0,126075.96,Consumer Discretionary,2007
165,LCUT,LIFETIME BRANDS INC,0.0,12.98,1953.0,25349.94,Consumer Discretionary,2007
166,DOLNQ,DOLAN,0.0,29.17,2019.0,58894.23,Consumer Discretionary,2007
167,PERY,PERRY ELLIS INTERNATIONAL INC,0.0,15.38,2042.0,31405.96,Consumer Discretionary,2007
168,PRSC,PROVIDENCE SERVICE CORP,0.0,28.14,2083.0,58615.62,Consumer Discretionary,2007
169,CRAI,CRA INTERNATIONAL INC,0.0,47.61,2107.0,100314.27,Consumer Discretionary,2007
170,AMWD,AMERICAN WOODMARK CORP,0.0,18.18,2128.0,38687.04,Consumer Discretionary,2007
171,HOFT,HOOKER FURNITURE CORP,0.0,20.1,2145.0,43114.5,Consumer Discretionary,2007
172,MCRI,MONARCH CASINO AND RESORT INC,0.0,24.08,2165.0,52133.2,Consumer Discretionary,2007
173,FGXI,FGX INTERNATIONAL HLDGS,0.0,11.85,2192.0,25975.2,Consumer Discretionary,2007
174,CN4,CONNS INC,0.0,17.11,2198.0,37607.78,Consumer Discretionary,2007
175,CACH,CACHE INC,0.0,9.34,2224.0,20772.16,Consumer Discretionary,2007
176,BNHNA,BENIHANA A,0.0,12.75,2224.0,28356.0,Consumer Discretionary,2007
177,CKEC,CARMIKE CINEMAS INC.,0.0,7.26,2278.0,16538.28,Consumer Discretionary,2007
178,DECK,DECKERS OUTDOOR CORP,0.01,155.06,2312.0,358498.72,Consumer Discretionary,2007
179,CDI,CDI CORP,0.0,24.26,2335.0,56647.1,Consumer Discretionary,2007
180,GIII,G III APPAREL GROUP LTD,0.0,14.77,2354.0,34768.58,Consumer Discretionary,2007
181,HSWI,HSW INTERNATIONAL INC.,0.0,6.23,2366.0,14740.18,Consumer Discretionary,2007
182,ULTA,ULTA BEAUTY INC,0.0,17.15,2392.0,41022.8,Consumer Discretionary,2007
183,PSMT,PRICESMART INC,0.0,30.06,2469.0,74218.14,Consumer Discretionary,2007
184,COLM,COLUMBIA SPORTSWEAR,0.0,44.09,2474.0,109078.66,Consumer Discretionary,2007
185,NILE,BLUE NILE INC.,0.01,68.06,2474.0,168380.44,Consumer Discretionary,2007
186,CTRN,CITI TRENDS INC,0.0,15.44,2481.0,38306.64,Consumer Discretionary,2007
187,TRK,SPEEDWAY MOTORSPORTS INC,0.0,31.08,2492.0,77451.36,Consumer Discretionary,2007
188,TRLG,TRUE RELIGION APPAREL INC.,0.0,21.35,2497.0,53310.95,Consumer Discretionary,2007
189,BKE,BUCKLE INC,0.0,33.0,2514.0,82962.0,Consumer Discretionary,2007
190,VISI,VOLT INFORMATION SCIENCES INC,0.0,18.26,2540.0,46380.4,Consumer Discretionary,2007
191,UNF,UNIFIRST CORP,0.0,38.0,2566.0,97508.0,Consumer Discretionary,2007
192,LULU,LULULEMON ATHLETICA INC,0.0,47.37,2579.0,122167.23,Consumer Discretionary,2007
193,LBY,LIBBEY INC,0.0,15.84,2581.0,40883.04,Consumer Discretionary,2007
194,UEIC,UNIVERSAL ELECTRONICS INC,0.0,33.44,2585.0,86442.4,Consumer Discretionary,2007
195,SFLY,SHUTTERFLY INC,0.0,25.62,2619.0,67098.78,Consumer Discretionary,2007
196,MSSR,MCCORMICK & SCHMICKS SEAFOOD REST,0.0,11.93,2628.0,31352.04,Consumer Discretionary,2007
197,VLCM,VOLCOM,0.0,22.03,2628.0,57894.84,Consumer Discretionary,2007
198,SGK,SCHAWK INC,0.0,15.52,2643.0,41019.36,Consumer Discretionary,2007
199,WMAR,WEST MARINE INC,0.0,8.98,2650.0,23797.0,Consumer Discretionary,2007
200,MDS,MIDAS INC.,0.0,14.66,2653.0,38892.98,Consumer Discretionary,2007
201,EXPO,EXPONENT INC,0.0,27.04,2665.0,72061.6,Consumer Discretionary,2007
202,BAMM,BOOKS-A-MILLION INC.,0.0,11.92,2666.0,31778.72,Consumer Discretionary,2007
203,STRA,STRAYER EDUCATION INC,0.02,170.58,2671.0,455619.18,Consumer Discretionary,2007
204,FORR,FORRESTER RESEARCH INC,0.0,28.02,2716.0,76102.32,Consumer Discretionary,2007
205,LNY,LANDRYS RESTAURANTS INC.,0.0,19.7,2732.0,53820.4,Consumer Discretionary,2007
206,BWLD,BUFFALO WILD WINGS INC,0.0,23.22,2756.0,63994.32,Consumer Discretionary,2007
207,OXM,OXFORD INDUSTRIES INC,0.0,25.77,2769.0,71357.13,Consumer Discretionary,2007
208,DDE,DOVER DOWNS GAMING AND ENTERTAINME,0.0,11.25,2815.0,31668.76,Consumer Discretionary,2007
209,MTEX,MANNATECH INC.,0.0,6.32,2817.0,17803.44,Consumer Discretionary,2007
210,BBW,BUILD A BEAR WORKSHOP INC,0.0,13.95,2824.0,39394.8,Consumer Discretionary,2007
211,EPAX,AMBASSADORS GROUP INC.,0.0,18.31,2831.0,51835.61,Consumer Discretionary,2007
212,DGIT,DG FASTCHANNEL INC.,0.0,25.64,2855.0,73202.2,Consumer Discretionary,2007
213,LAD,LITHIA MOTORS INC CLASS A,0.0,13.73,2860.0,39267.8,Consumer Discretionary,2007
214,ISLE,ISLE OF CAPRI CASINOS INC,0.0,13.77,2897.0,39891.69,Consumer Discretionary,2007
215,CRWN,CROWN MEDIA HOLDINGS INC CLASS A,0.0,6.5,2910.0,18915.0,Consumer Discretionary,2007
216,DSW,DSW INC CLASS A,0.0,18.76,2923.0,54835.48,Consumer Discretionary,2007
217,CLUB,TOWN SPORTS INTERNATIONAL HOLDINGS,0.0,9.56,2931.0,28020.36,Consumer Discretionary,2007
218,HZO,MARINEMAX INC,0.0,15.5,2949.0,45709.5,Consumer Discretionary,2007
219,OSTK,OVERSTOCK COM INC,0.0,15.53,2971.0,46139.63,Consumer Discretionary,2007
220,KIDBQ,KID BRANDS INC,0.0,16.36,3003.0,49129.08,Consumer Discretionary,2007
221,RRGB,RED ROBIN GOURMET BURGERS INC,0.0,31.99,3009.0,96257.91,Consumer Discretionary,2007
222,HWCC,HOUSTON WIRE AND CABLE,0.0,14.14,3041.0,42999.74,Consumer Discretionary,2007
223,BJRI,BJS RESTAURANTS INC,0.0,16.26,3075.0,49999.5,Consumer Discretionary,2007
224,STNR,STEINER LEISURE LTD,0.0,44.16,3087.0,136321.92,Consumer Discretionary,2007
225,GSOL,GLOBAL SOURCES LTD,0.0,28.22,3113.0,87848.84,Consumer Discretionary,2007
226,MOV,MOVADO GROUP INC,0.0,25.29,3156.0,79815.24,Consumer Discretionary,2007
227,ZUMZ,ZUMIEZ INC,0.0,24.36,3166.0,77123.76,Consumer Discretionary,2007
228,STMP,STAMPS.COM INC,0.0,12.18,3168.0,38586.24,Consumer Discretionary,2007
229,GAIA,GAIA INC CLASS A,0.0,29.68,3172.0,94144.96,Consumer Discretionary,2007
230,LACO,LAKES ENTERTAINMENT INC.,0.0,6.93,3192.0,22120.56,Consumer Discretionary,2007
231,HSII,HEIDRICK AND STRUGGLES INTERNATION,0.0,37.11,3226.0,119716.86,Consumer Discretionary,2007
232,JOSB,JOS A BANK CLOTHIERS INC,0.0,28.45,3243.0,92263.36,Consumer Discretionary,2007
233,DTSI,DTS INC.,0.0,25.57,3263.0,83434.91,Consumer Discretionary,2007
234,DIN,DINEEQUITY INC,0.0,36.58,3268.0,119543.44,Consumer Discretionary,2007
235,LOJN,LO-JACK CORP.,0.0,16.81,3367.0,56599.27,Consumer Discretionary,2007
236,LGN,LODGIAN INC.,0.0,11.26,3369.0,37934.94,Consumer Discretionary,2007
237,ABCO,ADVISORY BOARD,0.01,64.19,3395.0,217925.05,Consumer Discretionary,2007
238,MNRO,MONRO INC,0.0,19.49,3416.0,66577.99,Consumer Discretionary,2007
239,RUTH,RUTHS HOSPITALITY GROUP INC,0.0,8.94,3419.0,30565.86,Consumer Discretionary,2007
240,FTD,FTD GROUP,0.0,12.88,3441.0,44320.08,Consumer Discretionary,2007
241,CSGP,COSTAR GROUP INC,0.01,47.25,3453.0,163154.25,Consumer Discretionary,2007
242,WSII,WASTE SERVICES,0.0,8.57,3501.0,30003.57,Consumer Discretionary,2007
243,HVT,HAVERTY FURNITURE COMPANIES INC,0.0,8.99,3571.0,32103.29,Consumer Discretionary,2007
244,GSIC,GSI COMMERCE INC.,0.0,19.5,3602.0,70239.0,Consumer Discretionary,2007
245,ACMR,A.C. MOORE ARTS & CRAFTS INC.,0.0,13.75,3649.0,50173.75,Consumer Discretionary,2007
246,SKX,SKECHERS USA INC CLASS A,0.0,19.51,3679.0,71777.29,Consumer Discretionary,2007
247,MNTG,MTR GAMING GROUP INC,0.0,6.79,3699.0,25116.21,Consumer Discretionary,2007
248,SHOO,STEVEN MADDEN LTD,0.0,20.0,3699.0,73980.0,Consumer Discretionary,2007
249,RRR,RSC HOLDINGS INC.,0.0,12.55,3763.0,47225.65,Consumer Discretionary,2007
250,MCS,THE MARCUS CORP,0.0,15.45,3787.0,58509.15,Consumer Discretionary,2007
251,VVI,VIAD CORP,0.0,31.58,3852.0,121646.17,Consumer Discretionary,2007
252,PP1,PAPA JOHNS INTERNATIONAL INC,0.0,22.7,3856.0,87531.2,Consumer Discretionary,2007
253,GK,G & K SERVICES INC. SHS -A-,0.0,37.52,3858.0,144752.16,Consumer Discretionary,2007
254,PETS,PETMED EXPRESS INC,0.0,12.1,3868.0,46802.8,Consumer Discretionary,2007
255,SCHSQ,SCHOOL SPECIALTY INC,0.0,34.55,3868.0,133639.4,Consumer Discretionary,2007
256,RCRC,RC2 CORPORATION,0.0,28.07,3869.0,108602.83,Consumer Discretionary,2007
257,SRVY,GREENFIELD ONLINE,0.0,14.61,3893.0,56876.73,Consumer Discretionary,2007
258,NWY,NEW YORK AND COMPANY INC,0.0,6.38,3904.0,24907.52,Consumer Discretionary,2007
259,MMS,MAXIMUS INC,0.01,38.61,3925.0,151544.25,Consumer Discretionary,2007
260,PLA,PLAYBOY ENTERPRISES CLASS B,0.0,9.12,3956.0,36078.72,Consumer Discretionary,2007
261,MEG,MEDIA GENERAL INC,0.0,21.25,3969.0,84341.25,Consumer Discretionary,2007
262,PLCE,CHILDRENS PLACE INC,0.0,25.93,4042.0,104809.06,Consumer Discretionary,2007
263,WWE,WORLD WRESTLING ENTERTAINMENT INC,0.0,14.76,4053.0,59822.28,Consumer Discretionary,2007
264,RGR,STURM RUGER INC,0.0,8.28,4069.0,33691.32,Consumer Discretionary,2007
265,BGFV,BIG SPORTING GOODS CORP,0.0,14.42,4080.0,58833.6,Consumer Discretionary,2007
266,LNETQ,LODGENET INTERACTIVE INC,0.0,17.44,4085.0,71242.4,Consumer Discretionary,2007
267,CWST,CASELLA WASTE SYSTEMS INC CLASS A,0.0,13.04,4087.0,53294.48,Consumer Discretionary,2007
268,GCO,GENESCO INC,0.01,37.8,4093.0,154715.4,Consumer Discretionary,2007
269,GHSEQ,GATEHOUSE MEDIA,0.0,8.78,4114.0,36120.92,Consumer Discretionary,2007
270,PTRY,PANTRY INC.,0.0,26.13,4116.0,107551.08,Consumer Discretionary,2007
271,MFB,MAIDENFORM BRANDS INC.,0.0,13.53,4134.0,55933.02,Consumer Discretionary,2007
272,MWYGQ,MIDWAY GAMES,0.0,2.76,4160.0,11481.6,Consumer Discretionary,2007
273,TLB,TALBOTS INC.,0.0,11.82,4170.0,49289.4,Consumer Discretionary,2007
274,KELYA,KELLY SERVICES INC CLASS A,0.0,18.66,4193.0,78241.38,Consumer Discretionary,2007
275,MHGC,MORGANS HOTEL GROUP CO.,0.0,19.28,4202.0,81014.56,Consumer Discretionary,2007
